cdatetime,address,district,beat,crimedescr,ucr_ncic_code
74,2566,1,3,145,2299
74,4114,6,19,194,2999
75,3521,2,4,100,1315
76,2506,6,19,300,7000
77,2392,6,17,2,2404
77,3322,5,16,19,3599
77,3131,2,4,2,2404
78,1851,3,10,93,1315
79,1314,3,8,100,1315
80,1047,1,1,291,7000
81,860,2,6,88,1313
81,2062,3,7,172,2303
82,5240,2,6,1,2404
83,4976,1,3,66,5401
84,5050,2,5,1,2404
85,3593,5,16,2,2404
86,5428,5,15,292,7000
87,2186,6,17,283,7000
87,379,3,7,145,2299
88,316,3,9,145,2299
1851,2871,6,18,276,7000
1851,2426,5,15,168,2304
1851,1375,1,1,144,2204
1851,3612,4,13,192,2999
1852,1444,3,8,194,2999
1852,3685,6,19,154,2304
1852,944,3,9,194,2999
1852,1239,1,2,145,2299
1852,2031,6,17,155,2309
1853,288,6,17,185,2604
1854,2099,2,5,19,3599
1855,557,5,14,144,2204
1856,2572,5,15,300,7000
1911,3477,2,4,144,2204
1912,4434,4,13,168,2304
1913,5309,1,2,178,2803
1914,1391,5,14,12,3562
1915,4618,5,16,298,5400
1941,1793,1,3,248,7000
1941,4308,5,16,192,2999
1942,3568,4,13,143,2203
1943,3949,4,13,145,2299
1944,2249,6,17,272,7000
1945,583,3,7,293,7000
1946,581,2,6,293,7000
1947,4763,3,7,94,1315
1948,265,4,13,2,2404
1948,1997,6,17,145,2299
1949,529,2,4,19,3599
1950,1700,3,8,161,2399
1951,1540,4,11,113,3699
1952,2343,2,4,193,2999
1953,4768,2,6,298,5400
1954,2773,6,19,2,2404
1955,110,3,10,6,3532
1956,2917,6,19,293,7000
1957,5282,2,4,1,2404
1857,1053,2,5,113,3699
1857,1285,1,3,88,1313
1857,2030,1,3,145,2299
1858,2168,2,5,267,7000
1859,1659,2,6,291,7000
1859,3767,6,19,267,7000
1860,5058,2,5,66,5401
1861,5115,5,15,1,2404
1862,5268,2,5,298,5400
1863,335,3,7,230,7000
1864,4559,3,9,67,5401
1865,1073,2,6,267,7000
1865,1224,3,8,61,2310
1865,2410,6,17,255,7000
1866,4939,4,13,9,3532
1867,5449,3,7,292,7000
1868,905,2,6,1,2404
1869,20,3,10,2,2404
1869,1233,1,2,187,2604
1870,325,2,5,100,1315
1871,2811,1,1,145,2299
1871,5262,3,7,172,2303
1872,3049,5,15,67,5401
1873,4371,5,16,67,5401
1874,4386,6,17,76,1212
1875,359,2,6,145,2299
1876,2949,6,18,155,2309
1877,4189,6,19,198,5707
1878,686,2,6,143,2203
1879,658,2,6,145,2299
1880,4716,3,7,21,3572
1881,3629,3,9,297,5400
1882,2229,2,5,161,2399
1883,4630,5,16,297,5400
1884,825,2,6,181,2799
1885,2463,2,4,143,2203
1886,2980,6,18,2,2404
1886,457,5,14,88,1313
1886,3034,5,16,194,2999
1887,2499,3,10,67,5401
1888,483,3,7,297,5400
1889,1372,5,14,219,7399
1890,719,3,8,144,2204
1891,429,4,11,293,7000
1892,3297,4,13,144,2204
1893,4506,2,5,292,7000
1894,1345,3,8,2,2404
1894,807,3,10,120,3605
1894,1579,1,2,2,2404
1894,2476,2,4,291,7000
1895,855,3,8,145,2299
1896,4923,2,5,293,7000
1897,1960,3,9,145,2299
1898,170,3,10,152,2308
1899,2793,4,11,172,2303
1900,2672,6,18,19,3599
1901,664,4,11,2,2404
1901,687,3,8,235,7000
1902,5184,1,3,266,7000
1902,5382,4,12,297,5400
1903,1302,2,6,2,2404
1904,2192,6,18,144,2204
1904,3139,3,10,145,2299
1904,1042,5,14,275,7000
1905,2785,1,1,152,2308
1906,2233,2,4,184,7000
1907,4473,2,5,292,7000
1908,2233,2,4,267,7000
1909,271,2,5,100,1315
1910,4958,3,9,298,5400
1916,3826,1,3,69,1299
1917,3411,6,18,184,7000
1918,2101,1,2,2,2404
1918,3142,3,10,2,2404
1919,2818,4,12,293,7000
1920,142,2,5,243,7000
1921,3749,3,10,57,4803
1922,14,2,4,267,7000
1922,2693,1,1,145,2299
1922,2866,6,19,2,2404
1922,1757,4,12,194,2999
1922,4266,5,16,2,2404
1922,1493,1,1,145,2299
1923,4083,5,16,71,1299
1924,4557,6,19,69,1299
1925,739,2,5,94,1315
1925,1154,2,4,1,2404
1926,3837,4,13,2,2404
1927,4000,5,15,281,7000
1928,4395,3,10,281,7000
1929,1575,1,2,69,1299
1930,5491,4,12,69,1299
1931,4410,3,10,235,7000
1931,819,2,6,2,2404
1931,928,3,8,2,2404
1932,923,3,10,235,7000
1933,1368,5,14,237,7000
1934,1729,1,2,248,7000
1935,5181,1,3,297,5400
1936,2720,1,1,145,2299
1936,1862,1,3,158,2305
1937,832,3,7,19,3599
1937,3961,2,5,2,2404
1938,1230,2,6,6,3532
1938,256,3,10,171,2308
1938,5183,1,3,145,2299
1939,2884,5,15,100,1315
1940,4729,2,6,21,3572
3596,2630,2,4,235,7000
3596,2567,1,1,145,2299
3596,2482,6,17,187,2604
3597,4190,6,19,2,2404
3597,2577,2,5,145,2299
3597,1091,3,7,157,2307
3597,1069,3,7,157,2307
3597,1083,3,7,157,2307
3597,3263,4,13,145,2299
3597,454,1,3,145,2299
3597,2812,2,4,152,2308
3597,399,5,14,187,2604
3598,5038,2,5,67,5401
3598,4218,5,16,292,7000
3599,3938,4,13,69,1299
3600,4458,2,4,94,1315
3601,5002,3,7,1,2404
3602,934,6,17,47,5299
3603,3187,6,18,192,2999
3604,920,3,10,1,2404
3605,3700,4,12,266,7000
3698,2876,1,1,169,2305
3724,1339,3,8,2,2404
3724,3429,3,7,143,2203
3724,4049,3,9,145,2299
3725,1313,3,8,19,3599
3726,2783,2,4,145,2299
3727,266,4,11,192,2999
3728,458,5,14,291,7000
3729,3793,3,10,69,1299
3730,3488,4,13,1,2404
3731,84,2,4,192,2999
3732,797,1,1,172,2303
3733,4442,2,5,230,7000
3734,2736,4,11,63,999
3734,2736,4,11,267,7000
3735,1084,4,11,227,7000
3736,2444,2,4,2,2404
3737,2600,3,8,184,7000
3738,2390,2,4,144,2204
3739,5410,1,2,178,2803
3740,4322,6,19,233,7000
3741,4579,4,11,293,7000
3742,3760,6,19,144,2204
3743,2215,6,17,194,2999
3744,3463,6,18,1,2404
3745,4048,6,19,2,2404
3745,3068,4,12,248,7000
3745,1984,1,2,145,2299
3745,5148,3,7,297,5400
3745,787,2,6,143,2203
3745,2821,4,13,165,2605
3746,653,1,2,161,2399
3746,5326,2,6,1,2404
3747,110,3,10,12,3562
3748,1687,3,8,297,5400
3748,2727,5,15,293,7000
3749,5225,4,13,297,5400
3750,4545,1,2,248,7000
3751,4657,5,15,292,7000
3752,481,3,10,292,7000
3753,486,6,19,1,2404
3754,4064,1,1,2,2404
3754,2721,1,1,194,2999
3755,3820,4,13,287,7000
3756,2444,2,4,2,2404
