cdatetime,address,district,beat,crimedescr,ucr_ncic_code
4469,3198,3,9,273,7000
4469,1857,2,4,264,7000
4469,2771,4,12,150,2506
4470,3250,6,19,291,7000
4471,159,4,13,2,2404
4471,2758,6,17,144,2204
4472,3111,6,18,116,7000
4473,3606,5,16,109,5007
4473,1133,3,8,2,2404
4474,4209,5,16,173,2303
4475,4095,6,19,144,2204
4476,377,3,7,297,5400
4477,788,3,10,28,3599
4310,657,2,6,158,2305
4310,4659,5,15,145,2299
4311,4390,6,17,292,7000
4312,4861,4,11,297,5400
4312,1604,4,11,2,2404
4313,5379,4,12,266,7000
4314,4394,3,10,54,4801
4314,2564,5,15,144,2204
4315,1348,2,5,160,2303
4315,5183,1,3,165,2605
4315,4408,2,6,254,7000
4315,1172,5,14,61,2310
4316,1220,5,16,252,7000
4317,2690,6,17,292,7000
4318,2185,6,17,293,7000
4319,224,3,8,172,2303
4319,4596,6,18,292,7000
4319,3541,6,18,152,2308
4320,2638,6,17,292,7000
4321,1275,5,14,184,7000
4322,2384,6,17,292,7000
4323,602,2,6,274,7000
4323,4195,5,15,144,2204
4323,764,2,6,88,1313
4323,2984,3,7,143,2203
4323,681,2,4,249,7000
4324,2638,6,17,292,7000
4325,842,2,6,24,3571
4326,3983,6,19,144,2204
4327,4482,6,17,292,7000
4328,2638,6,17,293,7000
4329,4895,1,2,297,5400
4330,3010,3,9,255,7000
4331,5148,3,7,288,7000
4331,3178,2,4,184,7000
4332,4482,6,17,293,7000
4333,4605,6,17,292,7000
4334,1036,3,7,266,7000
4335,3315,3,9,287,7000
4335,1220,5,16,22,3599
4335,5407,1,1,297,5400
4336,4594,6,17,292,7000
4337,4607,6,17,292,7000
4338,3205,5,16,149,2506
4339,4040,5,14,100,1315
4340,4868,2,5,193,2999
4340,2304,1,1,172,2303
4341,2228,6,17,11,3522
4342,3415,4,13,114,3699
4343,2228,6,17,10,3532
4344,2872,6,18,293,7000
4345,3718,6,19,248,7000
4346,727,2,6,116,7000
4346,5209,6,19,293,7000
4347,1383,4,14,19,3599
4347,5033,5,15,78,5499
4348,1864,2,4,293,7000
4349,515,2,5,293,7000
4350,4630,5,16,293,7000
4351,2382,6,17,268,7000
4352,4390,6,17,292,7000
4353,4630,5,16,1,2404
4354,6,4,13,192,2999
4355,2973,6,19,298,5400
4356,3111,6,18,19,3599
4357,1400,1,1,252,7000
4358,2185,6,17,40,5012
4359,289,3,7,88,1313
4359,238,3,7,16,3560
4360,2154,6,17,185,2604
4360,2590,5,15,144,2204
4361,4153,6,19,293,7000
4361,2513,2,4,235,7000
4361,3287,6,19,188,2699
4361,4513,2,6,270,7000
4362,5216,2,4,82,5404
4363,927,3,8,297,5400
4363,768,2,4,214,5307
4364,2016,6,17,292,7000
4365,2102,1,1,270,7000
4366,4977,4,12,292,7000
4366,3902,5,14,293,7000
4367,4065,6,19,144,2204
4368,5454,4,12,48,5499
4369,5034,3,9,297,5400
4370,4755,6,19,293,7000
4371,3197,3,9,161,2399
4371,826,6,19,293,7000
4371,4349,5,16,144,2204
4372,4596,6,18,292,7000
4373,3280,4,13,185,2604
4374,4350,3,9,2,2404
4375,3998,5,16,248,7000
4376,4269,1,3,230,7000
4377,123,3,7,248,7000
4377,4054,5,15,152,2308
4377,3185,6,18,145,2299
4378,5017,3,10,12,3562
4378,5467,6,19,293,7000
4379,1177,2,4,116,7000
4379,4408,2,6,297,5400
4380,4215,6,19,2,2404
4380,3537,6,18,144,2204
4380,610,1,2,267,7000
4380,5052,2,5,270,7000
4380,1043,3,8,143,2203
4380,851,2,6,2,2404
4380,4899,1,2,145,2299
4381,3802,3,10,235,7000
4382,4390,6,17,297,5400
4383,4439,4,13,67,5401
4384,4784,6,19,297,5400
4385,4612,5,15,165,2605
4385,3652,5,16,272,7000
4385,4612,5,15,165,2605
4386,2912,6,18,292,7000
4387,3,2,4,267,7000
4388,5032,5,15,19,3599
4389,1892,2,5,71,1299
4389,4663,4,13,297,5400
4389,5440,1,2,292,7000
4390,1492,4,13,172,2303
4390,1775,3,8,145,2299
4390,2362,6,18,144,2204
4390,4325,6,19,2,2404
4390,2286,2,4,287,7000
4391,4672,2,6,297,5400
4392,2849,4,11,160,2303
4393,2579,5,15,1,2404
4394,3952,5,14,100,1315
4394,3834,5,14,267,7000
4394,4834,4,12,272,7000
4394,4327,3,9,255,7000
4395,2212,2,5,27,3599
4396,775,3,7,173,2303
4397,4304,2,5,19,3599
4398,5007,3,10,111,5499
4399,3389,3,10,149,2506
4400,3223,5,16,72,1210
4400,2931,4,13,145,2299
4400,3214,4,13,194,2999
4401,2626,6,18,184,7000
4402,5154,3,8,145,2299
4403,1817,2,5,1,2404
4404,3530,6,19,144,2204
4405,3399,6,19,255,7000
4406,3869,5,15,243,7000
4407,100,1,3,6,3532
4408,1735,1,2,88,1313
4409,2063,6,17,6,3532
4410,788,3,10,235,7000
4411,3065,4,12,287,7000
4411,4673,3,9,298,5400
4418,1665,4,12,267,7000
4418,5012,3,8,145,2299
4418,2824,2,5,282,7000
4418,1665,4,12,267,7000
4418,1665,4,12,267,7000
4418,1665,4,12,267,7000
4418,1665,4,12,267,7000
4418,1665,4,12,267,7000
4418,1884,6,17,144,2204
4418,3462,4,13,103,5213
4418,263,4,13,287,7000
4418,661,2,6,145,2299
4418,49,3,10,145,2299
4418,370,1,2,145,2299
4419,3753,5,15,292,7000
4420,801,4,11,71,1299
4421,663,6,0,83,5404
4422,3763,1,3,280,7000
4423,2087,3,9,67,5401
4424,902,1,2,2,2404
4424,3059,4,13,194,2999
4425,4793,5,15,80,5404
4426,2833,5,15,267,7000
4426,3977,6,19,194,2999
4426,3671,6,19,165,2605
4427,4880,6,18,67,5401
4428,4554,2,4,54,4801
4429,4269,1,3,230,7000
4430,2233,2,4,267,7000
4431,3958,4,13,145,2299
4431,2730,6,19,2,2404
4432,3,2,4,184,7000
4433,2453,6,18,143,2203
4433,1476,2,5,80,5404
4434,2461,6,17,291,7000
4435,2769,2,5,2,2404
4436,1623,4,11,144,2204
4437,974,3,7,2,2404
4437,2355,2,4,2,2404
4437,2705,4,12,145,2299
4437,1168,1,2,145,2299
4437,1745,2,5,144,2204
4438,1118,5,14,156,2399
4439,873,2,6,155,2309
4440,3249,4,13,285,7000
4441,2233,2,4,267,7000
4441,5442,1,3,19,3599
4442,775,3,7,216,2399
4443,3394,6,18,194,2999
4443,3981,4,13,194,2999
4443,3139,3,10,155,2309
4444,2071,6,17,144,2204
4445,669,3,7,94,1315
4446,2879,6,18,32,5212
4446,1553,1,2,291,7000
4447,2945,1,3,235,7000
4448,4707,5,14,21,3572
4449,192,4,13,143,2203
4478,3197,3,9,166,2605
4478,343,2,5,194,2999
4478,5260,2,6,145,2299
4478,2578,5,15,195,2999
4478,3386,4,13,169,2305
4478,3715,4,13,145,2299
4478,1401,1,2,293,7000
4478,1213,1,2,145,2299
4478,1228,1,2,172,2303
4479,3299,4,13,145,2299
4479,387,1,1,169,2305
4479,1448,4,13,145,2299
4479,2856,1,1,277,7000
4480,616,1,2,226,7000
4481,5121,5,14,6,3532
4482,4572,2,5,172,2303
4483,5144,3,7,100,1315
4484,4661,1,1,67,5401
4570,3481,4,13,143,2203
4571,1500,2,5,298,5400
4608,2029,6,17,300,7000
4608,101,4,13,194,2999
4609,2359,6,17,145,2299
4610,3011,5,15,232,7000
4611,92,2,4,2,2404
4612,4690,5,15,293,7000
4613,5104,2,4,80,5404
4614,4388,6,17,235,7000
4615,3611,4,13,178,2803
4616,4393,3,10,88,1313
4617,2533,6,17,267,7000
4617,2039,6,17,144,2204
4618,898,2,6,144,2204
4618,4070,5,15,161,2399
4619,3842,2,6,6,3532
4620,4621,5,16,298,5400
4621,2625,3,9,172,2303
4622,2243,1,2,2,2404
4622,1388,5,14,194,2999
4623,476,6,19,292,7000
4624,1672,4,12,267,7000
4624,3714,2,5,2,2404
4624,3973,2,5,257,7000
4624,3682,6,19,239,7000
4624,1968,1,3,187,2604
4624,1744,2,5,133,5212
4624,544,2,5,165,2605
4624,1750,4,11,176,2399
4624,1288,2,6,270,7000
4625,287,6,17,69,1299
4625,2242,5,15,171,2308
4626,4570,6,19,270,7000
4627,94,4,13,235,7000
4627,3245,6,18,264,7000
4628,1754,2,5,291,7000
4629,4599,6,18,292,7000
4630,5347,6,0,293,7000
4631,2772,4,12,151,2501
4631,5346,6,17,292,7000
4632,528,4,11,70,1211
4485,4358,5,16,213,5309
4485,1159,3,8,213,5309
4485,2188,2,4,162,2605
4486,4957,3,9,291,7000
4487,2692,1,1,156,2399
4488,1591,2,5,1,2404
4489,5440,1,2,145,2299
4490,4287,3,9,144,2204
4491,5097,2,5,67,5401
4492,4047,3,9,291,7000
4493,353,3,9,144,2204
4494,3280,4,13,266,7000
4495,154,2,5,266,7000
4496,2678,6,19,15,3563
4497,3394,6,18,145,2299
4497,1779,2,4,144,2204
4497,422,3,7,152,2308
4497,3656,2,5,269,7000
4497,4238,6,19,1,2404
4497,1437,3,8,165,2605
4497,2711,1,1,264,7000
4498,1510,2,5,230,7000
4499,3068,4,12,19,3599
4500,631,4,13,88,1313
4501,3091,2,5,192,2999
4502,127,3,10,150,2506
4503,2311,6,17,211,4099
4503,4850,4,12,53,5499
4503,3119,4,12,145,2299
4504,2700,6,19,184,7000
4505,3835,3,10,24,3571
4506,149,3,8,285,7000
4507,686,2,6,160,2303
4508,3643,6,19,272,7000
4509,4890,6,18,211,4099
4510,3921,5,16,235,7000
4511,3713,6,19,255,7000
4512,5244,3,8,297,5400
4513,2366,6,17,109,5007
4514,2653,4,13,144,2204
4514,1665,4,12,145,2299
4514,3282,1,1,161,2399
4515,2377,6,19,178,2803
4516,5100,2,4,292,7000
4517,775,3,7,156,2399
4518,878,2,6,1,2404
4519,2229,2,5,248,7000
4520,1400,1,1,235,7000
4521,5017,3,10,54,4801
4522,825,2,6,160,2303
4523,166,3,9,235,7000
4524,2706,6,18,2,2404
4525,2477,2,4,184,7000
4526,952,4,11,201,5707
4526,5015,3,9,279,7000
4526,2601,2,4,267,7000
4526,3496,6,18,267,7000
4526,510,2,5,152,2308
4526,1122,4,12,145,2299
4526,2601,2,4,267,7000
4526,2601,2,4,267,7000
4527,4444,2,5,144,2204
4528,4727,3,9,298,5400
4529,5121,5,14,17,3560
4529,2665,6,19,100,1315
4529,1924,5,14,267,7000
4530,657,2,6,166,2605
4531,205,3,7,297,5400
4532,4912,2,4,293,7000
4533,4710,2,6,207,4004
4534,4884,4,13,297,5400
4535,1128,1,3,152,2308
4536,2603,2,5,161,2399
4536,3137,2,4,145,2299
4536,2203,6,17,161,2399
4536,3094,6,18,161,2399
4536,3736,6,19,287,7000
4536,4955,3,9,272,7000
4537,5328,5,15,25,3599
4538,2332,4,12,160,2303
4539,1407,4,11,183,2799
4540,19,3,9,2,2404
4540,1194,3,9,158,2305
4541,5342,4,12,292,7000
4542,4485,3,9,297,5400
4543,3139,3,10,145,2299
4544,1410,6,17,33,5212
4545,2068,1,2,252,7000
4546,2291,1,1,55,4803
4547,3903,4,13,143,2203
4547,3495,4,13,2,2404
4547,4978,3,10,219,7399
4547,1798,2,5,161,2399
4547,2829,1,1,145,2299
4547,1784,3,8,143,2203
4547,4656,5,16,155,2309
4548,5005,2,5,67,5401
4549,1709,1,2,144,2204
4550,4866,5,14,297,5400
4551,1809,2,6,6,3532
4552,4180,2,5,266,7000
4553,5459,3,9,297,5400
4554,2304,1,1,266,7000
4555,3601,3,10,252,7000
4556,1755,1,3,264,7000
4557,876,1,2,237,7000
4558,2919,6,17,292,7000
4559,2518,6,17,155,2309
4560,3707,4,13,267,7000
4561,4964,4,12,100,1315
4562,3586,5,16,134,5212
4563,370,1,2,145,2299
4564,5057,5,14,100,1315
4564,4864,4,12,297,5400
4564,1600,3,8,145,2299
4565,4982,3,8,298,5400
4566,1368,5,14,2,2404
4567,4557,6,19,298,5400
4568,4146,4,13,136,1602
4569,1664,1,2,2,2404
4572,4209,5,16,152,2308
4573,825,2,6,160,2303
4574,628,1,1,249,7000
4575,1852,3,10,219,7399
4576,1064,5,14,230,7000
4576,2182,6,17,174,2301
4576,1924,5,14,172,2303
4577,3449,5,16,1,2404
4578,3835,3,10,213,5309
4579,3040,5,15,103,5213
4579,1955,1,1,2,2404
4579,3091,2,5,194,2999
4580,2519,3,10,54,4801
4581,4197,3,7,107,4199
4582,1620,4,12,115,3699
4583,2673,6,19,161,2399
4584,505,3,7,88,1313
4585,4492,5,16,67,5401
4586,2057,6,17,116,7000
4587,414,3,9,255,7000
4588,378,3,7,283,7000
4588,4403,2,4,2,2404
4588,1153,2,6,2,2404
4588,3380,1,3,2,2404
4588,5261,3,7,69,1299
4588,4109,5,15,145,2299
4588,4049,3,9,145,2299
4588,3385,1,1,194,2999
4588,1698,3,9,143,2203
4589,422,3,7,303,7000
4590,2285,6,17,144,2204
4591,1463,4,12,100,1315
4591,1463,4,12,35,5212
4592,3793,3,10,235,7000
4593,1410,6,17,290,7000
4594,2237,1,1,261,7000
4595,523,1,3,2,2404
4595,2737,4,13,194,2999
4595,5368,5,16,292,7000
4596,2610,3,9,94,1315
4597,538,2,5,94,1315
4598,3879,5,16,13,3562
4599,897,2,6,169,2305
4600,2017,1,3,235,7000
4601,3486,4,12,1,2404
4602,3925,5,14,2,2404
4602,3479,6,19,161,2399
4602,622,3,8,144,2204
4603,3057,3,9,194,2999
4604,864,1,2,2,2404
4605,422,3,7,21,3572
4606,3399,6,19,293,7000
4607,1287,5,14,144,2204
4633,2141,1,2,2,2404
4633,1117,3,9,2,2404
4633,2035,1,3,145,2299
4633,4118,3,9,145,2299
4633,4364,6,19,143,2203
4633,414,3,9,165,2605
4634,3968,5,14,2,2404
4634,1945,2,5,144,2204
4634,3881,4,13,255,7000
4634,4326,5,16,272,7000
4634,3419,6,19,213,5309
4634,3336,1,1,61,2310
4634,3146,2,4,172,2303
4635,5193,2,5,292,7000
4636,5146,3,7,248,7000
4637,3930,2,5,88,1313
4638,2756,1,1,145,2299
4639,2092,6,17,232,7000
4640,3512,4,13,145,2299
4722,38,2,6,71,1299
4722,361,3,9,195,2999
4723,961,2,6,98,3699
4724,1438,3,8,144,2204
4725,1106,3,8,80,5404
4726,3573,5,16,101,1315
4747,2233,2,4,267,7000
4747,2553,2,4,2,2404
4747,4167,3,8,145,2299
4747,955,3,8,145,2299
4748,1137,4,12,105,5213
4749,1397,6,17,194,2999
4750,1495,2,5,143,2203
4750,1682,2,6,100,1315
4750,3927,5,15,2,2404
4751,665,3,7,80,5404
4752,4197,3,7,260,7000
4753,3770,3,9,143,2203
4754,2702,6,18,285,7000
4755,3702,6,19,2,2404
4755,971,5,14,2,2404
4756,1999,6,17,144,2204
4757,2702,6,18,267,7000
4758,4159,3,10,262,8102
4759,936,1,3,94,1315
4760,2381,6,17,292,7000
4761,5263,3,7,6,3532
4762,4039,5,14,139,2099
4763,2098,1,2,88,1313
4764,1371,2,6,2,2404
4765,3792,3,8,33,5212
4766,3560,6,18,192,2999
4767,388,3,7,93,1315
4768,4739,2,6,272,7000
4769,2358,2,4,267,7000
4770,5087,6,17,48,5499
4771,4276,2,4,1,2404
4772,3492,6,19,275,7000
4772,1665,4,12,267,7000
4772,1665,4,12,267,7000
4772,1389,5,14,297,5400
4772,2566,1,3,145,2299
4772,3280,4,13,264,7000
4773,570,1,2,269,7000
4774,4408,2,6,88,1313
4775,171,2,4,155,2309
4776,1665,4,12,267,7000
4776,1665,4,12,267,7000
4776,1665,4,12,267,7000
4777,5394,4,14,297,5400
4778,448,5,14,152,2308
4778,161,4,11,166,2605
4778,448,5,14,171,2308
4779,3629,3,9,293,7000
4780,4752,6,19,67,5401
4781,3601,3,10,91,1315
4782,3116,6,18,69,1299
4783,5026,3,10,156,2399
4783,4587,6,17,293,7000
4784,1011,4,12,293,7000
4785,3596,5,16,156,2399
4786,5254,6,19,145,2299
4787,1298,2,6,6,3532
4787,1490,5,16,145,2299
4788,1711,1,2,171,2308
4641,657,2,6,236,7000
4641,519,1,2,150,2506
4641,1665,4,12,192,2999
4642,172,4,11,155,2309
4643,5274,2,5,292,7000
4644,4659,5,15,298,5400
4645,3398,4,13,2,2404
4645,2592,3,10,264,7000
4645,1099,6,19,293,7000
4646,2898,6,19,247,7000
4647,4249,4,11,300,7000
4648,3192,5,16,71,1299
4648,1912,4,12,144,2204
4648,193,1,3,192,2999
4649,4957,3,9,298,5400
4650,4550,2,5,24,3571
4651,5104,2,4,82,5404
4652,5074,5,16,298,5400
4653,657,2,6,2,2404
4654,3668,5,16,192,2999
4654,1259,3,8,292,7000
4655,1409,4,11,156,2399
4656,603,2,6,145,2299
4657,4156,6,19,297,5400
4658,1951,6,17,73,1299
4659,369,1,2,228,7000
4660,2669,6,18,235,7000
4661,4967,4,11,272,7000
4662,3156,5,16,194,2999
4663,5082,2,6,80,5404
4664,1555,1,2,232,7000
4664,3026,6,18,161,2399
4664,3552,5,16,235,7000
4665,4142,6,19,94,1315
4666,4780,2,4,297,5400
4667,4171,3,9,160,2303
4668,646,2,6,160,2303
4669,4873,4,12,298,5400
4670,5409,1,1,82,5404
4671,3616,4,13,144,2204
4671,2658,6,17,143,2203
4671,1917,4,12,100,1315
4671,1819,4,12,152,2308
4671,3036,5,16,136,1602
4671,2321,1,1,156,2399
4672,4130,6,19,291,7000
4673,2566,1,3,145,2299
4674,278,2,5,289,7000
4675,4008,5,14,144,2204
4676,2566,1,3,145,2299
4677,257,3,7,235,7000
4678,2841,6,19,235,7000
4678,1323,2,6,146,2299
4678,4798,4,13,80,5404
4678,2559,2,5,2,2404
4679,646,2,6,173,2303
4680,2746,5,15,103,5213
4681,3202,5,16,144,2204
4682,5354,6,19,298,5400
4683,5409,1,1,293,7000
4684,2474,6,17,144,2204
4685,3205,5,16,150,2506
4685,3084,6,18,165,2605
4686,2233,2,4,267,7000
4687,4442,2,5,161,2399
4687,470,6,19,100,1315
4687,3697,3,9,143,2203
4687,2703,6,18,145,2299
4688,1335,4,13,144,2204
4689,3340,4,13,230,7000
4690,2679,5,15,28,3599
4691,3342,6,18,144,2204
4691,2720,1,1,145,2299
4691,2435,5,15,267,7000
4691,452,2,6,145,2299
4691,5118,5,15,293,7000
4692,3080,2,4,1,2404
4693,3431,6,18,216,2399
4694,3749,3,10,282,7000
4695,2839,5,15,109,5007
4696,1299,2,4,267,7000
4697,2332,4,12,216,2399
4698,1102,4,11,298,5400
4699,4381,6,19,2,2404
4700,3595,2,5,94,1315
4701,975,3,8,2,2404
4701,1517,1,3,2,2404
4701,2506,6,19,2,2404
4701,2506,6,19,2,2404
4701,4121,6,19,267,7000
4701,2233,2,4,267,7000
4701,2387,1,1,291,7000
4701,1452,5,14,2,2404
4701,488,1,2,194,2999
4701,1719,1,2,287,7000
4702,3592,6,18,1,2404
4703,2200,5,15,100,1315
4704,3423,4,13,291,7000
4705,1147,3,7,67,5401
4706,1231,5,14,192,2999
4707,5279,4,11,67,5401
4708,2615,2,4,216,2399
4708,4228,3,8,287,7000
4709,2734,5,15,143,2203
4709,4892,3,7,297,5400
4710,3862,6,19,144,2204
4710,4037,5,16,292,7000
4710,1303,1,2,169,2305
4710,4080,5,14,194,2999
4710,2830,1,1,145,2299
4711,3626,6,18,292,7000
4712,2420,4,12,2,2404
4713,1993,6,17,235,7000
4714,5365,6,18,293,7000
4715,482,3,10,293,7000
4716,1600,3,8,297,5400
4717,4659,5,15,292,7000
4717,3139,3,10,145,2299
4718,2747,4,13,94,1315
4719,3783,3,9,93,1315
4720,657,2,6,12,3562
4721,5365,6,18,292,7000
4727,36,3,8,94,1315
4728,1708,4,12,28,3599
4728,3399,6,19,12,3562
4728,1689,3,8,145,2299
4728,4336,6,19,2,2404
4729,2250,6,17,178,2803
4730,1105,3,8,172,2303
4731,1732,4,12,194,2999
4731,290,3,7,69,1299
4731,3598,4,13,152,2308
4732,4197,3,7,88,1313
4733,3975,3,9,88,1313
4734,1774,3,8,152,2308
4734,249,2,4,2,2404
4734,661,2,6,109,5007
4734,350,4,13,143,2203
4734,5065,5,15,298,5400
4734,1774,3,8,145,2299
4734,1007,6,0,292,7000
4734,330,2,6,145,2299
4735,3019,5,16,227,7000
4736,158,3,10,226,7000
4737,3822,4,13,69,1299
4738,4972,3,8,145,2299
4739,4162,3,7,292,7000
4740,1368,5,14,1,2404
4741,3698,6,19,145,2299
4741,5376,6,19,2,2404
4741,2050,2,5,144,2204
4741,4573,2,5,292,7000
4741,1785,1,3,192,2999
4742,5116,5,15,293,7000
4743,1396,5,16,267,7000
4744,1034,3,9,143,2203
4745,5013,3,8,145,2299
4746,3054,6,18,77,2399
4789,771,2,5,2,2404
4790,1756,3,9,289,7000
4790,1948,6,17,187,2604
4791,461,2,5,208,5311
4792,2281,6,18,94,1315
4793,5353,6,19,80,5404
4848,5365,6,18,69,1299
4849,5292,3,7,80,5404
4850,4639,3,10,88,1313
4851,567,2,6,194,2999
4851,3582,2,6,2,2404
4851,3995,5,14,144,2204
4852,1112,3,8,273,7000
4853,374,6,17,19,3599
4854,4838,5,15,292,7000
4855,451,5,14,2,2404
4856,4467,3,10,72,1210
4857,3636,6,18,80,5404
4887,4197,3,7,88,1313
4887,3889,6,19,194,2999
4888,4197,3,7,116,7000
4889,1838,3,8,66,5401
4890,2317,2,4,144,2204
4891,2298,2,5,69,1299
4892,422,3,7,268,7000
4892,895,2,4,168,2304
4893,4727,3,9,88,1313
4894,2652,2,4,43,5207
4895,661,2,6,292,7000
4896,2595,2,4,2,2404
4896,1846,6,18,93,1315
4896,4010,5,16,289,7000
4897,2088,6,17,235,7000
4898,4071,6,19,93,1315
4899,3848,4,13,192,2999
4899,3092,1,1,194,2999
4900,4679,5,16,293,7000
4901,5036,4,13,1,2404
4902,3334,5,16,2,2404
4902,520,2,6,2,2404
4903,2924,4,13,235,7000
4904,787,2,6,146,2299
4905,3365,3,7,230,7000
4906,4295,3,9,164,2605
4907,156,2,5,144,2204
4908,460,2,5,69,1299
4909,2407,5,15,2,2404
4909,4264,3,9,144,2204
4910,5396,5,15,298,5400
4911,1638,1,2,94,1315
4912,2327,6,17,73,1299
4913,3872,2,6,6,3532
4914,4006,5,16,144,2204
4794,2446,2,4,230,7000
4795,5440,1,2,298,5400
4796,2481,6,18,235,7000
4797,110,3,10,235,7000
4798,3119,4,12,145,2299
4799,3490,6,18,152,2308
4799,540,3,8,293,7000
4800,2464,2,4,2,2404
4801,1026,4,12,249,7000
4802,1023,4,11,160,2303
4803,2666,1,1,293,7000
4804,1351,2,5,143,2203
4805,1827,1,3,235,7000
4806,2587,2,4,100,1315
4807,5323,2,5,1,2404
4808,2460,2,4,144,2204
4808,525,1,1,144,2204
4809,1909,2,5,2,2404
4810,3685,6,19,94,1315
4810,3994,6,19,267,7000
4811,5091,6,17,82,5404
4812,33,1,2,267,7000
4812,2598,3,9,144,2204
4813,4209,5,16,152,2308
4814,906,5,14,271,7000
4815,1681,3,9,59,5005
4816,2966,6,18,145,2299
4817,1438,3,8,144,2204
4817,165,3,10,194,2999
4818,3707,4,13,267,7000
4818,2608,4,12,172,2303
4818,3940,5,14,268,7000
4818,3779,3,9,144,2204
4819,2688,6,17,1,2404
4820,4783,3,10,145,2299
4820,912,3,7,143,2203
4820,4772,2,6,272,7000
4821,95,2,5,1,2404
4822,91,2,5,282,7000
4823,1672,4,12,267,7000
4823,3994,6,19,267,7000
4823,4079,5,15,144,2204
4823,3399,6,19,235,7000
4824,4487,3,9,21,3572
4825,4874,4,12,77,2399
4825,187,4,11,144,2204
4825,1769,4,12,293,7000
4826,5068,5,15,297,5400
4827,4164,2,4,2,2404
4827,3948,5,14,161,2399
4827,564,5,15,144,2204
4827,2566,1,3,145,2299
4827,1429,3,8,287,7000
4828,2637,6,18,100,1315
4829,4874,4,12,80,5404
4830,4492,5,16,293,7000
4831,698,3,8,94,1315
4832,4312,5,16,289,7000
4833,2237,1,1,192,2999
4834,4751,6,19,293,7000
4835,2488,6,17,269,7000
4836,2233,2,4,267,7000
4836,63,3,9,156,2399
4836,3394,6,18,145,2299
4836,4577,4,11,94,1315
4836,3641,5,16,145,2299
4836,2418,6,17,272,7000
4837,3875,6,19,292,7000
4838,4493,2,5,46,5299
4838,5074,5,16,2,2404
4838,28,2,5,2,2404
4839,2815,6,18,123,1315
4840,4679,5,16,292,7000
4841,3618,6,19,194,2999
4842,5089,6,17,292,7000
4843,5397,2,4,69,1299
4844,4493,2,5,288,7000
4844,658,2,6,145,2299
4845,2392,6,17,93,1315
4846,2349,6,17,24,3571
4847,332,3,10,93,1315
4858,1374,3,9,2,2404
4859,4824,4,12,292,7000
4860,63,3,9,71,1299
4861,861,4,12,194,2999
4862,5475,4,12,69,1299
4862,3584,5,16,145,2299
4863,616,1,2,69,1299
4864,4083,5,16,67,5401
4865,1658,5,14,57,4803
4866,4173,5,16,88,1313
4866,2828,1,1,161,2399
4866,2828,1,1,300,7000
4866,2828,1,1,161,2399
4866,1190,1,2,2,2404
4866,4231,1,3,2,2404
4867,3542,6,19,94,1315
4868,3399,6,19,266,7000
4868,1910,1,1,2,2404
4868,5403,1,1,82,5404
4868,2660,2,4,145,2299
4868,616,1,2,192,2999
4869,5305,6,18,292,7000
4870,3984,6,19,293,7000
4871,5189,2,5,297,5400
4872,254,5,15,287,7000
4873,4508,2,5,292,7000
4874,5298,1,2,272,7000
4875,4564,5,15,298,5400
4876,3411,6,18,241,7000
4877,1283,3,9,94,1315
4877,4077,5,15,144,2204
4877,4366,2,4,2,2404
4878,1675,1,1,2,2404
4878,1904,4,11,194,2999
4878,2246,4,13,298,5400
4879,2200,5,15,185,2604
4880,2794,3,9,156,2399
4880,2696,4,11,156,2399
4880,1954,4,11,156,2399
4880,2402,3,9,156,2399
4881,4830,4,12,19,3599
4881,4830,4,12,129,3599
4882,390,2,4,140,2099
4883,4610,6,17,80,5404
4883,5448,3,7,192,2999
4884,640,1,1,2,2404
4885,3381,5,15,12,3562
4886,4676,5,14,248,7000
4915,1992,1,3,145,2299
4915,3721,6,19,145,2299
4915,2014,6,17,264,7000
4915,937,2,4,187,2604
4915,3555,6,18,194,2999
4916,1566,2,6,161,2399
4916,352,4,13,156,2399
4916,4262,5,15,145,2299
4916,2852,1,1,145,2299
4916,1072,4,12,187,2604
4916,4292,6,19,171,2308
4916,138,3,9,187,2604
4917,657,2,6,1,2404
4918,1187,2,5,2,2404
4919,2458,6,17,1,2404
4920,3367,3,7,69,1299
4921,4304,2,5,19,3599
4922,4498,3,9,2,2404
4922,2742,2,4,152,2308
4922,679,5,15,94,1315
4923,2652,2,4,139,2099
4924,2372,5,15,267,7000
4924,3473,4,13,100,1315
4925,4736,2,6,292,7000
5014,3568,4,13,143,2203
5015,2674,2,4,267,7000
5016,4439,4,13,184,7000
5017,1665,4,12,267,7000
5018,4490,6,17,208,5311
5049,4183,5,16,145,2299
5050,4890,6,18,2,2404
5051,3079,6,18,248,7000
5052,1557,3,9,143,2203
5053,1665,4,12,267,7000
5054,1364,2,6,144,2204
5055,76,4,13,2,2404
5056,342,3,8,143,2203
5057,1127,3,8,143,2203
5058,3483,6,19,144,2204
5059,5417,2,5,21,3572
5060,5297,6,19,298,5400
5061,2033,1,3,145,2299
5062,3373,5,15,2,2404
5063,1229,2,4,2,2404
5064,3246,6,18,67,5401
5065,1071,6,18,184,7000
5066,29,3,10,143,2203
5067,1247,6,18,291,7000
5067,4955,3,9,297,5400
5067,4337,6,19,145,2299
5068,903,5,14,144,2204
5069,2247,6,17,293,7000
5070,220,3,10,194,2999
5071,2629,3,9,2,2404
5071,5427,5,16,293,7000
5072,627,4,12,184,7000
5073,405,3,9,2,2404
5073,3987,5,14,264,7000
5073,655,2,5,153,2399
5073,4460,2,5,155,2309
5073,3681,4,13,267,7000
