country,year,sex,age,suicides_no,population
0,1998,1,0,27.0,248800.0
0,1998,1,1,26.0,240400.0
0,1998,1,2,29.0,388200.0
0,1998,1,3,2.0,388400.0
0,1998,1,4,9.0,183800.0
0,1998,1,5,3.0,25800.0
0,1999,0,0,19.0,296800.0
0,1999,0,1,13.0,276500.0
0,1999,0,2,5.0,373600.0
0,1999,0,3,1.0,365200.0
0,1999,0,4,6.0,188800.0
0,1999,0,5,4.0,42400.0
0,1999,1,0,24.0,250600.0
0,1999,1,1,19.0,242300.0
0,1999,1,2,31.0,391100.0
0,1999,1,3,0.0,391300.0
0,1999,1,4,14.0,185200.0
0,1999,1,5,3.0,25900.0
0,2000,0,0,6.0,263900.0
0,2000,0,1,3.0,245800.0
0,2000,0,2,5.0,332200.0
0,2000,0,3,0.0,324700.0
0,2000,0,4,0.0,168000.0
0,2000,0,5,2.0,37800.0
0,2000,1,0,5.0,240000.0
0,2000,1,1,17.0,232000.0
0,2000,1,2,4.0,374700.0
0,2000,1,3,1.0,374900.0
0,2000,1,4,10.0,177400.0
0,2000,1,5,1.0,24900.0
0,2001,0,0,9.0,271359.0
0,2001,0,1,4.0,222771.0
0,2001,0,2,12.0,370191.0
0,2001,0,3,2.0,307356.0
0,2001,0,4,6.0,189799.0
0,2001,0,5,2.0,47254.0
0,2001,1,0,10.0,256039.0
0,2001,1,1,22.0,206484.0
0,2001,1,2,34.0,378826.0
0,2001,1,3,6.0,321556.0
0,2001,1,4,11.0,196670.0
0,2001,1,5,1.0,31044.0
0,2002,0,0,14.0,275970.0
0,2002,0,1,7.0,223685.0
0,2002,0,2,15.0,375113.0
0,2002,0,3,1.0,304850.0
0,2002,0,4,4.0,191712.0
0,2002,0,5,1.0,47407.0
0,2002,1,0,15.0,263067.0
0,2002,1,1,23.0,206286.0
0,2002,1,2,35.0,382139.0
0,2002,1,3,1.0,319473.0
0,2002,1,4,13.0,198130.0
0,2002,1,5,4.0,31007.0
0,2003,0,0,14.0,283709.0
0,2003,0,1,9.0,222941.0
0,2003,0,2,13.0,381760.0
0,2003,0,3,0.0,298477.0
0,2003,0,4,9.0,195699.0
0,2003,0,5,6.0,49088.0
0,2003,1,0,15.0,273235.0
0,2003,1,1,9.0,205433.0
0,2003,1,2,28.0,386196.0
0,2003,1,3,4.0,313204.0
0,2003,1,4,16.0,201520.0
0,2003,1,5,1.0,32667.0
0,2004,0,0,20.0,292268.0
0,2004,0,1,11.0,222389.0
0,2004,0,2,17.0,391436.0
0,2004,0,3,3.0,286705.0
0,2004,0,4,3.0,203841.0
0,2004,0,5,3.0,50970.0
0,2004,1,0,19.0,286768.0
0,2004,1,1,16.0,203938.0
0,2004,1,2,39.0,391767.0
0,2004,1,3,1.0,302181.0
0,2004,1,4,10.0,207202.0
0,2004,1,5,4.0,35526.0
0,2005,0,0,0.0,281922.0
0,2005,0,1,0.0,190745.0
0,2005,0,2,0.0,386513.0
0,2005,0,3,0.0,276559.0
0,2005,0,4,0.0,210998.0
0,2005,0,5,0.0,53191.0
0,2005,1,0,0.0,281675.0
0,2005,1,1,0.0,177519.0
0,2005,1,2,0.0,380242.0
0,2005,1,3,0.0,291367.0
0,2005,1,4,0.0,214118.0
0,2005,1,5,0.0,38471.0
0,2006,0,0,0.0,283138.0
0,2006,0,1,0.0,186391.0
0,2006,0,2,0.0,388746.0
0,2006,0,3,0.0,267316.0
0,2006,0,4,0.0,215907.0
0,2006,0,5,0.0,56011.0
0,2006,1,0,0.0,286679.0
0,2006,1,1,0.0,174092.0
0,2006,1,2,0.0,379076.0
0,2006,1,3,0.0,282678.0
0,2006,1,4,0.0,219360.0
0,2006,1,5,0.0,40782.0
0,2007,0,0,13.0,281080.0
0,2007,0,1,8.0,183629.0
0,2007,0,2,14.0,391811.0
0,2007,0,3,0.0,256808.0
